country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode
USA,0,1,01,0,-0.021767221,0,,,148
USA,0,1,01,0,-0.164736375,0,,,184
USA,0,1,01,0,-0.021767221,1,,,104
USA,0,1,01,0,1.264955044,0,,,204
USA,0,1,01,0,0.979016781,0,,,8
USA,0,1,01,0,-1.308489561,0,,,151
USA,0,1,01,0,1.97980082,0,,,167
USA,0,1,01,0,-1.16552043,0,,,6
USA,1,1,02,0,0.979016781,0,,,68
USA,0,1,02,0,-0.164736375,1,,,34
USA,0,1,01,0,-1.308489561,0,,,79
USA,0,1,03,0,-0.164736375,0,,,141
USA,0,1,01,0,-0.593643785,0,,,87
USA,0,1,01,0,0.979016781,0,,,148
USA,0,1,01,0,0.407140225,0,,,117
USA,0,1,01,0,0.836047649,0,,,155
USA,0,1,01,0,1.264955044,0,,,203
USA,0,1,01,0,0.121201925,0,,,37
USA,0,1,01,0,1.121985912,0,,,196
USA,0,1,01,0,-0.164736375,0,,,225
USA,0,1,01,0,0.693078518,0,,,153
USA,0,1,01,0,1.407924294,0,,,204
USA,0,1,01,0,0.550109386,0,,,142
USA,0,1,01,0,0.836047649,0,,,198
USA,0,1,02,1,-1.308489561,0,,,180
USA,0,1,01,0,0.693078518,0,,,8
USA,1,1,01,0,0.836047649,0,,,113
USA,0,1,01,0,-0.021767221,0,,,121
USA,0,1,01,0,1.693862557,0,,,91
USA,0,1,01,0,0.121201925,0,,,148
USA,0,1,01,0,-1.022551298,0,,,8
USA,0,1,01,0,-1.16552043,0,,,71
USA,0,1,03,0,-0.736612976,0,,,148
USA,0,1,01,0,0.407140225,0,,,119
USA,0,1,01,0,-1.308489561,1,,,32
USA,0,1,02,0,0.979016781,0,,,55
USA,0,1,03,0,0.121201925,0,,,169
USA,1,1,01,0,0.264171064,0,,,226
USA,0,1,01,0,0.693078518,0,,,148
USA,0,1,01,0,1.550893426,0,,,110
USA,0,1,01,0,-0.450674653,0,,,54
USA,0,1,01,0,0.121201925,0,,,148
USA,0,1,01,0,0.121201925,0,,,6
USA,0,1,01,0,-0.021767221,0,,,148
USA,0,1,01,0,0.550109386,0,,,203
USA,1,1,02,0,0.836047649,0,,,13
USA,0,1,01,0,0.550109386,0,,,60
USA,0,1,01,0,-0.307705522,,,,148
USA,0,1,01,0,1.550893426,0,,,192
USA,0,1,01,0,0.693078518,0,,,58
USA,0,1,01,0,0.979016781,0,,,155
USA,0,1,01,0,-0.879582107,0,,,110
USA,0,1,01,0,0.121201925,0,,,193
USA,0,1,01,0,0.693078518,0,,,228
USA,0,1,01,0,2.408708334,0,,,148
USA,0,1,01,0,0.693078518,0,,,148
USA,0,1,01,0,0.121201925,0,,,92
USA,0,1,01,0,0.121201925,0,,,152
USA,0,1,01,0,0.407140225,0,,,215
USA,0,1,01,1,-1.308489561,0,,,131
USA,0,1,01,0,-1.16552043,0,,,5
USA,0,1,01,0,-1.16552043,0,,,208
USA,0,1,01,0,0.121201925,0,,,110
USA,0,1,01,0,-0.450674653,0,,,222
USA,0,1,01,0,0.836047649,0,,,155
USA,0,1,01,0,-0.450674653,0,,,228
USA,0,1,02,0,0.407140225,1,,,102
USA,0,1,01,0,0.979016781,0,,,110
USA,0,1,01,0,-1.16552043,0,,,188
USA,0,1,02,0,0.264171064,0,,,87
USA,0,1,01,0,-0.307705522,0,,,163
USA,0,1,01,0,1.407924294,0,,,108
USA,0,1,01,0,0.979016781,0,,,218
USA,0,1,02,0,0.407140225,1,,,148
USA,0,1,01,0,-0.307705522,0,,,166
USA,1,1,02,0,0.550109386,0,,,113
USA,0,1,01,0,-0.593643785,0,,,110
USA,0,1,01,0,0.407140225,0,,,147
USA,0,1,01,0,-0.450674653,0,,,147
USA,0,1,01,0,-0.450674653,1,,,142
USA,0,1,01,0,-1.16552043,1,,,88
USA,0,1,01,0,-1.16552043,0,,,34
USA,0,1,01,0,-0.593643785,0,,,91
USA,0,1,01,0,-0.736612976,0,,,193
USA,0,1,01,0,-0.593643785,0,,,147
USA,0,1,01,0,0.836047649,0,,,9
USA,1,1,01,0,-0.164736375,0,,,139
USA,0,1,01,0,-0.307705522,0,,,181
USA,0,1,03,0,0.693078518,0,,,55
USA,0,1,01,0,-0.593643785,0,,,19
USA,0,1,01,0,0.693078518,0,,,227
USA,0,1,01,0,-0.879582107,0,,,5
USA,0,1,01,0,-1.308489561,0,,,123
USA,0,1,01,0,-0.307705522,,,,58
USA,0,1,01,0,-1.308489561,1,,,131
USA,0,1,01,1,-1.022551298,0,,,147
USA,0,1,01,0,-0.307705522,0,,,34
USA,0,1,01,0,0.121201925,0,,,142
USA,0,1,01,0,-0.307705522,,,,25
USA,0,1,01,0,-0.307705522,1,,,132
USA,0,1,02,0,-1.022551298,1,,,147
USA,0,1,01,0,-0.450674653,1,,,147
USA,0,1,01,0,-0.593643785,0,,,163
USA,0,1,01,0,-0.593643785,0,,,56
USA,0,1,01,0,1.550893426,0,,,147
USA,0,1,01,0,-0.450674653,0,,,146
USA,0,1,01,0,2.837615728,0,,,114
USA,0,1,01,0,0.121201925,0,,,181
USA,0,1,01,0,-0.307705522,0,,,90
USA,0,1,01,0,-0.307705522,0,,,78
USA,0,1,03,0,-1.16552043,0,,,210
USA,1,1,01,0,0.407140225,1,,,226
USA,0,1,01,0,0.979016781,0,,,87
USA,0,1,01,0,1.550893426,0,,,11
USA,0,1,01,0,0.407140225,0,,,189
USA,0,1,01,0,1.264955044,0,,,63
USA,0,1,01,0,2.408708334,,,,145
USA,0,1,01,0,0.264171064,0,,,203
USA,0,1,01,0,1.121985912,0,,,145
USA,0,1,01,0,1.407924294,0,,,145
USA,0,1,00,0,0.693078518,,,,145
USA,1,1,01,0,-0.593643785,0,,,226
USA,0,1,01,0,-1.16552043,0,,,231
USA,0,1,01,0,-0.879582107,0,,,37
USA,0,1,01,0,0.264171064,0,,,119
USA,0,1,03,0,-0.307705522,0,,,227
USA,0,1,03,0,0.264171064,0,,,225
USA,0,1,01,0,0.407140225,0,,,160
USA,0,1,01,0,-0.593643785,1,,,189
USA,0,1,01,0,-1.022551298,1,,,174
USA,0,1,01,0,-1.308489561,1,,,180
USA,0,1,01,0,1.97980082,0,,,104
USA,0,1,01,0,0.407140225,0,,,145
USA,0,1,01,0,-0.879582107,0,,,57
USA,0,1,01,0,-1.16552043,1,,,72
USA,0,1,01,0,-1.308489561,0,,,129
USA,1,1,01,0,1.407924294,0,,,113
USA,0,1,01,0,-0.879582107,0,,,144
USA,0,1,01,0,0.264171064,0,,,142
USA,0,1,01,0,0.407140225,0,,,90
USA,0,1,01,0,0.550109386,0,,,177
USA,0,1,03,0,-0.593643785,0,,,116
USA,0,1,01,0,-0.307705522,0,,,144
USA,0,1,01,0,-0.164736375,1,,,144
USA,0,1,01,0,-0.593643785,0,,,133
USA,0,1,01,0,0.121201925,0,,,144
USA,0,1,01,0,0.264171064,0,,,203
USA,0,1,01,0,-0.593643785,0,,,87
USA,0,1,01,0,-1.308489561,0,,,160
USA,0,1,01,0,-0.307705522,0,,,228
USA,0,1,01,0,1.97980082,,,,11
USA,0,1,01,0,-0.450674653,0,,,143
USA,0,1,01,0,-0.307705522,0,,,116
USA,0,1,01,0,0.407140225,0,,,143
USA,0,1,01,0,-1.308489561,1,,,158
USA,0,1,01,0,-0.736612976,1,,,193
USA,0,1,01,0,0.121201925,0,,,39
USA,1,1,01,0,0.264171064,1,,,161
USA,0,1,01,0,-0.307705522,0,,,180
USA,0,1,01,0,-0.021767221,1,,,142
USA,0,1,01,0,-0.021767221,0,,,119
USA,0,1,01,0,0.693078518,0,,,142
USA,0,1,01,0,1.693862557,0,,,11
USA,0,1,01,0,-0.021767221,0,,,142
USA,0,1,01,0,-0.307705522,0,,,65
USA,0,1,01,0,-1.308489561,1,,,190
USA,0,1,01,0,0.121201925,0,,,196
USA,0,1,02,0,-0.593643785,0,,,72
USA,0,1,01,0,-0.021767221,0,,,29
USA,0,1,01,0,-1.16552043,0,,,142
USA,0,1,01,0,3.123553991,0,,,119
USA,0,1,01,0,-0.450674653,0,,,111
USA,0,1,02,0,0.121201925,1,,,145
USA,0,1,01,0,-0.593643785,0,,,81
USA,0,1,01,0,0.407140225,0,,,215
USA,0,1,01,0,-0.736612976,1,,,142
USA,0,1,01,0,0.693078518,1,,,31
USA,0,1,01,0,0.264171064,0,,,5
USA,0,1,02,0,0.407140225,0,,,203
USA,1,1,02,0,0.979016781,0,,,68
USA,0,1,01,0,-0.164736375,0,,,120
USA,0,1,01,0,1.264955044,0,,,98
USA,0,1,01,0,1.407924294,0,,,119
USA,0,1,01,0,0.550109386,0,,,205
USA,0,1,01,0,-0.450674653,0,,,142
USA,0,1,01,0,0.407140225,0,,,218
USA,0,1,01,0,0.121201925,0,,,200
USA,0,1,03,0,-1.308489561,1,,,140
USA,0,1,01,0,0.121201925,0,,,104
USA,1,1,01,0,1.121985912,0,,,226
USA,0,1,01,0,2.551677465,0,,,225
USA,0,1,01,0,1.407924294,0,,,62
USA,0,1,01,0,0.836047649,0,,,102
USA,0,1,01,0,-0.450674653,0,,,133
USA,0,1,01,0,1.264955044,0,,,37
USA,0,1,01,0,1.121985912,0,,,33
USA,0,1,01,0,0.979016781,0,,,228
USA,0,1,01,0,0.264171064,0,,,142
USA,0,1,01,0,-0.879582107,,,,88
USA,0,1,01,0,1.550893426,0,,,62
USA,0,1,01,0,-0.164736375,1,,,60
USA,0,1,01,0,-0.021767221,0,,,163
USA,0,1,01,0,0.979016781,0,,,142
USA,0,1,01,0,-0.593643785,0,,,109
USA,0,1,01,0,-1.16552043,0,,,7
USA,0,1,01,0,0.121201925,0,,,8
USA,0,1,03,0,-0.450674653,0,,,141
USA,0,1,01,0,-0.307705522,0,,,27
USA,0,1,01,0,-0.307705522,0,,,210
USA,0,1,01,0,0.121201925,1,,,166
USA,0,1,01,0,-0.593643785,0,,,109
USA,1,1,01,0,0.407140225,0,,,68
USA,0,1,01,0,-1.16552043,0,,,204
USA,0,1,01,0,1.550893426,0,,,119
USA,0,1,02,0,0.121201925,0,,,148
USA,0,1,01,0,-0.307705522,0,,,195
USA,0,1,01,0,0.407140225,0,,,203
USA,0,1,01,0,0.121201925,,,,218
USA,0,1,01,0,0.407140225,0,,,203
USA,0,1,01,0,-0.021767221,0,,,196
USA,0,1,01,0,-0.593643785,,,,141
USA,0,1,01,0,0.979016781,0,,,149
USA,1,1,01,0,-0.450674653,0,,,68
USA,0,1,01,0,-0.021767221,0,,,34
USA,0,1,01,0,-0.164736375,0,,,86
USA,0,1,01,0,-0.307705522,1,,,212
USA,0,1,01,0,0.121201925,0,,,132
USA,1,1,01,0,0.550109386,0,,,68
USA,0,1,01,0,2.837615728,0,,,57
USA,0,1,01,0,-1.308489561,1,,,159
USA,1,1,01,0,-0.021767221,1,,,30
USA,0,1,01,0,1.836831689,0,,,142
USA,0,1,01,0,0.836047649,0,,,62
USA,0,1,01,0,-1.16552043,0,,,180
USA,0,1,01,0,-1.308489561,0,,,210
USA,0,1,01,0,-0.736612976,0,,,64
USA,0,1,01,0,-0.879582107,0,,,140
USA,0,1,01,0,-1.16552043,0,,,141
USA,0,1,01,0,-0.164736375,0,,,5
USA,0,1,01,0,-0.736612976,0,,,104
USA,0,1,01,0,0.693078518,0,,,28
USA,0,1,01,0,0.121201925,0,,,140
USA,0,1,01,0,-0.164736375,0,,,8
USA,0,1,02,0,-0.307705522,0,,,195
USA,0,1,01,0,0.121201925,0,,,218
